id;operator;vehicle;arrival;departure;distance;total distance;latitude(deg);longitude(deg);maps url;passenger exchange time;total in;total out;system errors;in1(D1L);out1(D1L);status1(D1L);in10(D8L);out10(D8L);status10(D8L);in11(D7L);out11(D7L);status11(D7L);in12(D7P);out12(D7P);status12(D7P);in13(D3L);out13(D3L);status13(D3L);in14(D3P);out14(D3P);status14(D3P);in15(D4P);out15(D4P);status15(D4P);in16(D4L);out16(D4L);status16(D4L);in17(D5L);out17(D5L);status17(D5L);in18(D5P);out18(D5P);status18(D5P);in19(D6P);out19(D6P);status19(D6P);in2(D1P);out2(D1P);status2(D1P);in20(D6L);out20(D6L);status20(D6L);in3(D2P);out3(D2P);status3(D2P);in4(D2L);out4(D2L);status4(D2L);in5(D10P);out5(D10P);status5(D10P);in6(D10L);out6(D10L);status6(D10L);in7(D9L);out7(D9L);status7(D9L);in8(D9P);out8(D9P);status8(D9P);in9(D8P);out9(D8P);status9(D8P)
14;KML4423;36;2025-03-15 05:29:31;2025-03-15 05:30:40;8283;77277;52.40163;20.9411;http://maps.google.com/maps?q=52.40163%2C20.9411;38;43;2;0;12;1;0;3;0;0;5;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;1;0;0;0;0;5;0;0;3;0;0;0;0;0;0;0;0
15;KML4423;36;2025-03-15 05:34:50;2025-03-15 05:35:49;4877;85560;52.33376;20.986;http://maps.google.com/maps?q=52.33376%2C20.986;33;8;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;1;0;2;0;0
16;KML4423;36;2025-03-15 05:38:52;2025-03-15 05:40:12;4660;90437;52.29357;21.01326;http://maps.google.com/maps?q=52.29357%2C21.01326;54;14;4;0;0;0;0;3;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;5;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
17;KML4423;36;2025-03-15 05:43:38;2025-03-15 05:44:22;2340;95097;52.264;21.05264;http://maps.google.com/maps?q=52.264%2C21.05264;16;6;6;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
18;KML4423;36;2025-03-15 05:47:19;2025-03-15 05:49:36;4600;97437;52.25164;21.05183;http://maps.google.com/maps?q=52.25164%2C21.05183;109;13;30;1;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;1;1;0;1;2;0;0;0;0;0;0;0;1;4;0;4;1;0;1;4;0;0;0;0;1;3;0;0;0;0;0;7;0;0;0;0;0;0;0;0;3;0;0;3;0
19;KML4423;36;2025-03-15 05:54:33;2025-03-15 05:56:38;2688;102037;0;0;n/a;94;6;51;1;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;6;0;0;6;0;0;0;0;0;0;0;2;7;0;0;3;0;3;5;0;0;0;0;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;9;0;1;3;0
20;KML4423;36;2025-03-15 05:59:13;2025-03-15 06:01:36;2975;104725;52.22079;20.96537;http://maps.google.com/maps?q=52.22079%2C20.96537;111;3;5;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0
21;KML4423;36;2025-03-15 06:05:18;2025-03-15 06:06:32;2048;107700;52.2055983333333;20.9412983333333;http://maps.google.com/maps?q=52.2055983333333%2C20.9412983333333;49;4;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;3;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;KML4423;36;2025-03-15 06:08:19;2025-03-15 06:09:36;1091;109748;52.19674;20.96631;http://maps.google.com/maps?q=52.19674%2C20.96631;45;5;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0
23;KML4423;36;2025-03-15 06:10:44;2025-03-15 06:12:35;1597;110839;52.1932;20.9811883333333;http://maps.google.com/maps?q=52.1932%2C20.9811883333333;80;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
24;KML4423;36;2025-03-15 06:14:08;2025-03-15 06:15:32;2020;112436;52.18045;20.98694;http://maps.google.com/maps?q=52.18045%2C20.98694;58;11;11;0;6;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0
25;KML4423;36;2025-03-15 06:18:03;2025-03-15 06:40:50;2100;114456;0;0;n/a;1340;57;49;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;4;3;0;1;6;0;0;0;0;0;0;0;2;7;0;2;6;0;40;10;0;0;0;0;2;12;0;0;0;0;1;3;0;0;0;0;0;0;0;3;0;0;0;1;0
26;KML4423;36;2025-03-15 06:43:33;2025-03-15 06:44:32;1574;116556;52.18104;20.98714;http://maps.google.com/maps?q=52.18104%2C20.98714;31;9;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;0;0;0;0;0;0;1;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0
27;KML4423;36;2025-03-15 06:46:03;2025-03-15 06:46:58;1078;118130;52.19334;20.98071;http://maps.google.com/maps?q=52.19334%2C20.98071;26;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
28;KML4423;36;2025-03-15 06:48:07;2025-03-15 06:49:30;2062;119208;52.19685;20.96605;http://maps.google.com/maps?q=52.19685%2C20.96605;55;7;3;0;1;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0
29;KML4423;36;2025-03-15 06:51:27;2025-03-15 06:52:33;2815;121270;52.20594;20.94128;http://maps.google.com/maps?q=52.20594%2C20.94128;21;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
30;KML4423;36;2025-03-15 06:55:45;2025-03-15 07:00:43;2738;124085;52.22003;20.96521;http://maps.google.com/maps?q=52.22003%2C20.96521;272;22;17;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;2;0;0;1;4;0;0;0;0;0;0;0;1;2;0;5;0;0;1;6;0;0;0;0;1;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;4;0;0
31;KML4423;36;2025-03-15 07:03:46;2025-03-15 07:05:52;4558;126823;0;0;n/a;13;36;16;1;2;0;0;4;1;0;3;2;0;0;0;0;3;6;0;0;0;0;0;0;0;4;0;0;5;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;3;4;0;0;0;0;5;1;0;2;1;0;0;0;0;0;0;0
